,district,state,year,month,temperature,rainfall,humidity
36898,barddhaman,west bengal,2000,3,26.08,0.21,40.44
36899,nadia,west bengal,2000,3,26.87,0.31,38.43
36908,murshidabad,west bengal,2000,3,25.46,0.46,35.62
36915,maldah,west bengal,2000,3,24.81,0.48,35.21
36923,dakshin dinajpur,west bengal,2000,3,24.18,0.5,37.37
36931,uttar dinajpur,west bengal,2000,3,23.8,0.28,31.92
36943,east midnapore,west bengal,2001,3,28.32,0.97,57.65
36944,north 24 parganas,west bengal,2001,3,28.46,0.83,54.91
36945,south 24 parganas,west bengal,2001,3,28.46,0.83,54.91
36946,haora,west bengal,2001,3,28.09,0.9,49.95
36947,kolkata,west bengal,2001,3,28.09,0.9,49.95
36950,hugli,west bengal,2001,3,27.59,0.87,43.53
36953,barddhaman,west bengal,2001,3,27.27,0.8,37.46
36954,nadia,west bengal,2001,3,27.69,0.78,36.43
36963,murshidabad,west bengal,2001,3,26.82,0.47,28.79
36970,maldah,west bengal,2001,3,26.53,0.35,25.34
36978,dakshin dinajpur,west bengal,2001,3,26.01,0.32,26.62
36986,uttar dinajpur,west bengal,2001,3,25.59,0.29,22.9
36998,east midnapore,west bengal,2002,3,28.01,0.85,60.68
36999,north 24 parganas,west bengal,2002,3,28.32,0.8,56.86
37000,south 24 parganas,west bengal,2002,3,28.32,0.8,56.86
37001,haora,west bengal,2002,3,27.79,0.76,53.53
37002,kolkata,west bengal,2002,3,27.79,0.76,53.53
37005,hugli,west bengal,2002,3,27.43,0.73,48.23
37008,barddhaman,west bengal,2002,3,27.44,0.78,42.39
37009,nadia,west bengal,2002,3,28.09,0.78,39.55
37018,murshidabad,west bengal,2002,3,27.31,0.76,35.86
37025,maldah,west bengal,2002,3,26.75,0.73,35.5
37033,dakshin dinajpur,west bengal,2002,3,26.11,0.81,37.75
37041,uttar dinajpur,west bengal,2002,3,25.59,0.93,35.08
37053,east midnapore,west bengal,2003,3,26.57,3.76,63.75
37054,north 24 parganas,west bengal,2003,3,26.57,3.86,62.14
37055,south 24 parganas,west bengal,2003,3,26.57,3.86,62.14
37056,haora,west bengal,2003,3,26.2,3.88,58.63
37057,kolkata,west bengal,2003,3,26.2,3.88,58.63
37060,hugli,west bengal,2003,3,25.87,3.56,55.41
37063,barddhaman,west bengal,2003,3,25.81,2.95,51.66
37064,nadia,west bengal,2003,3,26.07,2.95,51.64
37073,murshidabad,west bengal,2003,3,25.45,1.75,47.98
37080,maldah,west bengal,2003,3,24.94,1.32,47.79
37088,dakshin dinajpur,west bengal,2003,3,24.32,1.27,50.07
37096,uttar dinajpur,west bengal,2003,3,24.02,0.82,45.76
37108,east midnapore,west bengal,2004,3,28.0,0.23,61.32
37109,north 24 parganas,west bengal,2004,3,28.16,0.24,59.52
37110,south 24 parganas,west bengal,2004,3,28.16,0.24,59.52
37111,haora,west bengal,2004,3,28.12,0.24,52.39
37112,kolkata,west bengal,2004,3,28.12,0.24,52.39
37115,hugli,west bengal,2004,3,28.02,0.24,45.98
37118,barddhaman,west bengal,2004,3,28.24,0.27,39.7
37119,nadia,west bengal,2004,3,28.83,0.26,38.85
37128,murshidabad,west bengal,2004,3,27.86,0.54,33.94
37135,maldah,west bengal,2004,3,27.33,0.66,34.84
37143,dakshin dinajpur,west bengal,2004,3,26.6,0.78,40.35
37151,uttar dinajpur,west bengal,2004,3,26.15,0.58,38.98
37163,east midnapore,west bengal,2005,3,28.18,1.61,66.25
37164,north 24 parganas,west bengal,2005,3,28.2,1.72,65.24
37165,south 24 parganas,west bengal,2005,3,28.2,1.72,65.24
37166,haora,west bengal,2005,3,28.23,1.71,60.71
37167,kolkata,west bengal,2005,3,28.23,1.71,60.71
37170,hugli,west bengal,2005,3,27.99,1.75,56.71
37173,barddhaman,west bengal,2005,3,27.95,1.77,52.53
37174,nadia,west bengal,2005,3,28.36,1.86,50.93
37183,murshidabad,west bengal,2005,3,27.74,1.59,47.4
37190,maldah,west bengal,2005,3,27.47,1.34,45.78
37198,dakshin dinajpur,west bengal,2005,3,26.88,1.21,47.29
37206,uttar dinajpur,west bengal,2005,3,26.51,0.89,42.72
37218,east midnapore,west bengal,2006,3,28.82,0.28,53.6
37219,north 24 parganas,west bengal,2006,3,29.13,0.29,51.98
37220,south 24 parganas,west bengal,2006,3,29.13,0.29,51.98
37221,haora,west bengal,2006,3,28.29,0.27,48.18
37222,kolkata,west bengal,2006,3,28.29,0.27,48.18
37225,hugli,west bengal,2006,3,27.92,0.2,43.25
37228,barddhaman,west bengal,2006,3,27.96,0.13,37.59
37229,nadia,west bengal,2006,3,28.48,0.08,34.34
37238,murshidabad,west bengal,2006,3,26.94,0.15,36.07
37245,maldah,west bengal,2006,3,26.23,0.17,36.29
37253,dakshin dinajpur,west bengal,2006,3,25.67,0.22,36.83
37261,uttar dinajpur,west bengal,2006,3,25.37,0.26,33.79
37273,east midnapore,west bengal,2007,3,26.61,0.63,59.07
37274,north 24 parganas,west bengal,2007,3,26.86,0.61,55.94
37275,south 24 parganas,west bengal,2007,3,26.86,0.61,55.94
37276,haora,west bengal,2007,3,26.06,0.63,52.55
37277,kolkata,west bengal,2007,3,26.06,0.63,52.55
37280,hugli,west bengal,2007,3,25.72,0.57,47.06
37283,barddhaman,west bengal,2007,3,25.77,0.51,42.61
37284,nadia,west bengal,2007,3,26.28,0.48,39.71
37293,murshidabad,west bengal,2007,3,25.77,0.51,39.33
37300,maldah,west bengal,2007,3,25.4,0.5,39.25
37308,dakshin dinajpur,west bengal,2007,3,24.74,0.5,40.68
37316,uttar dinajpur,west bengal,2007,3,24.04,0.54,42.18
37328,east midnapore,west bengal,2008,3,27.26,0.28,67.8
37329,north 24 parganas,west bengal,2008,3,27.5,0.3,66.4
37330,south 24 parganas,west bengal,2008,3,27.5,0.3,66.4
37331,haora,west bengal,2008,3,27.08,0.3,61.16
37332,kolkata,west bengal,2008,3,27.08,0.3,61.16
37335,hugli,west bengal,2008,3,26.75,0.29,55.55
37338,barddhaman,west bengal,2008,3,26.78,0.23,49.96
37339,nadia,west bengal,2008,3,27.43,0.29,49.16
37348,murshidabad,west bengal,2008,3,26.84,0.15,42.04
37355,maldah,west bengal,2008,3,26.48,0.26,40.86
37363,dakshin dinajpur,west bengal,2008,3,26.1,0.51,42.81
37371,uttar dinajpur,west bengal,2008,3,25.44,0.7,39.84
37383,east midnapore,west bengal,2009,3,28.31,0.99,52.76
37384,north 24 parganas,west bengal,2009,3,28.45,0.99,52.17
37385,south 24 parganas,west bengal,2009,3,28.45,0.99,52.17
37386,haora,west bengal,2009,3,27.8,1.11,45.18
37387,kolkata,west bengal,2009,3,27.8,1.11,45.18
37390,hugli,west bengal,2009,3,27.37,1.23,40.44
37393,barddhaman,west bengal,2009,3,27.51,1.31,34.82
37394,nadia,west bengal,2009,3,28.08,1.34,32.71
37403,murshidabad,west bengal,2009,3,27.39,0.94,30.01
37410,maldah,west bengal,2009,3,26.93,0.59,29.72
37418,dakshin dinajpur,west bengal,2009,3,26.12,0.37,33.76
37426,uttar dinajpur,west bengal,2009,3,25.54,0.2,31.57
37438,east midnapore,west bengal,2010,3,29.27,0.42,58.66
37439,north 24 parganas,west bengal,2010,3,29.41,0.34,57.92
37440,south 24 parganas,west bengal,2010,3,29.41,0.34,57.92
37441,haora,west bengal,2010,3,29.13,0.37,50.84
37442,kolkata,west bengal,2010,3,29.13,0.37,50.84
37445,hugli,west bengal,2010,3,28.54,0.34,47.28
37448,barddhaman,west bengal,2010,3,28.35,0.3,42.59
37449,nadia,west bengal,2010,3,28.96,0.27,41.15
37458,murshidabad,west bengal,2010,3,28.32,0.11,33.56
37465,maldah,west bengal,2010,3,27.92,0.05,31.88
37473,dakshin dinajpur,west bengal,2010,3,27.58,0.03,31.93
37481,uttar dinajpur,west bengal,2010,3,27.04,0.08,29.58
37493,east midnapore,west bengal,2011,3,27.7,0.64,60.46
37494,north 24 parganas,west bengal,2011,3,27.8,0.73,58.66
37495,south 24 parganas,west bengal,2011,3,27.8,0.73,58.66
37496,haora,west bengal,2011,3,27.94,0.75,53.86
37497,kolkata,west bengal,2011,3,27.94,0.75,53.86
37500,hugli,west bengal,2011,3,27.81,0.83,49.6
37503,barddhaman,west bengal,2011,3,27.83,0.85,44.45
37504,nadia,west bengal,2011,3,28.07,0.9,44.49
37513,murshidabad,west bengal,2011,3,27.62,0.65,36.26
37520,maldah,west bengal,2011,3,27.07,0.51,34.91
37528,dakshin dinajpur,west bengal,2011,3,25.96,0.37,40.03
37536,uttar dinajpur,west bengal,2011,3,25.13,0.27,38.25
37548,east midnapore,west bengal,2012,3,28.02,0.07,56.85
37549,north 24 parganas,west bengal,2012,3,28.3,0.2,56.25
37550,south 24 parganas,west bengal,2012,3,28.3,0.2,56.25
37551,haora,west bengal,2012,3,27.51,0.13,47.96
37552,kolkata,west bengal,2012,3,27.51,0.13,47.96
37555,hugli,west bengal,2012,3,26.79,0.27,41.52
37558,barddhaman,west bengal,2012,3,26.66,0.39,35.06
37559,nadia,west bengal,2012,3,27.54,0.34,32.46
37568,murshidabad,west bengal,2012,3,26.67,0.63,29.8
37575,maldah,west bengal,2012,3,26.16,0.39,29.79
37583,dakshin dinajpur,west bengal,2012,3,25.7,0.11,30.68
37591,uttar dinajpur,west bengal,2012,3,24.85,0.1,31.24
37603,east midnapore,west bengal,2013,3,27.86,0.26,57.83
37604,north 24 parganas,west bengal,2013,3,28.04,0.29,57.43
37605,south 24 parganas,west bengal,2013,3,28.04,0.29,57.43
37606,haora,west bengal,2013,3,27.81,0.29,48.29
37607,kolkata,west bengal,2013,3,27.81,0.29,48.29
37610,hugli,west bengal,2013,3,27.31,0.33,40.61
37613,barddhaman,west bengal,2013,3,27.23,0.44,34.21
37614,nadia,west bengal,2013,3,27.88,0.46,33.67
37623,murshidabad,west bengal,2013,3,27.22,0.38,30.11
37630,maldah,west bengal,2013,3,27.04,0.18,29.75
37638,dakshin dinajpur,west bengal,2013,3,26.67,0.1,31.35
37646,uttar dinajpur,west bengal,2013,3,26.31,0.08,31.73
37658,east midnapore,west bengal,2014,3,27.17,0.67,61.23
37659,north 24 parganas,west bengal,2014,3,27.76,0.56,56.9
37660,south 24 parganas,west bengal,2014,3,27.76,0.56,56.9
37661,haora,west bengal,2014,3,26.5,0.68,56.36
37662,kolkata,west bengal,2014,3,26.5,0.68,56.36
37665,hugli,west bengal,2014,3,25.8,0.72,53.55
37668,barddhaman,west bengal,2014,3,25.65,0.71,49.51
37669,nadia,west bengal,2014,3,26.25,0.71,47.55
37678,murshidabad,west bengal,2014,3,26.1,0.29,40.84
37685,maldah,west bengal,2014,3,25.78,0.12,39.46
37693,dakshin dinajpur,west bengal,2014,3,25.05,0.08,40.68
37701,uttar dinajpur,west bengal,2014,3,24.78,0.1,38.19
37713,east midnapore,west bengal,2015,3,27.41,1.6,56.87
37714,north 24 parganas,west bengal,2015,3,27.64,1.61,54.94
37715,south 24 parganas,west bengal,2015,3,27.64,1.61,54.94
37716,haora,west bengal,2015,3,27.12,1.5,50.1
37717,kolkata,west bengal,2015,3,27.12,1.5,50.1
37720,hugli,west bengal,2015,3,26.88,1.32,46.3
37723,barddhaman,west bengal,2015,3,27.02,1.09,42.5
37724,nadia,west bengal,2015,3,27.22,1.12,42.38
37733,murshidabad,west bengal,2015,3,27.46,1.03,36.6
37740,maldah,west bengal,2015,3,27.29,1.13,36.28
37748,dakshin dinajpur,west bengal,2015,3,26.86,0.95,37.1
37756,uttar dinajpur,west bengal,2015,3,26.33,1.62,38.11
37768,east midnapore,west bengal,2016,3,27.97,0.6,68.83
37769,north 24 parganas,west bengal,2016,3,27.94,0.52,68.62
37770,south 24 parganas,west bengal,2016,3,27.94,0.52,68.62
37771,haora,west bengal,2016,3,28.19,0.59,62.32
37772,kolkata,west bengal,2016,3,28.19,0.59,62.32
37775,hugli,west bengal,2016,3,28.16,0.71,56.17
37778,barddhaman,west bengal,2016,3,28.32,0.71,48.79
37779,nadia,west bengal,2016,3,28.56,1.17,49.27
37788,murshidabad,west bengal,2016,3,29.01,0.59,36.56
37795,maldah,west bengal,2016,3,29.09,0.59,32.73
37803,dakshin dinajpur,west bengal,2016,3,28.53,1.23,33.19
37811,uttar dinajpur,west bengal,2016,3,28.42,0.92,28.37
37823,east midnapore,west bengal,2017,3,26.48,3.1,68.54
37824,north 24 parganas,west bengal,2017,3,26.42,3.64,69.08
37825,south 24 parganas,west bengal,2017,3,26.42,3.64,69.08
37826,haora,west bengal,2017,3,26.55,2.13,60.85
37827,kolkata,west bengal,2017,3,26.55,2.13,60.85
37830,hugli,west bengal,2017,3,26.61,1.39,53.26
37833,barddhaman,west bengal,2017,3,26.67,0.92,46.88
37834,nadia,west bengal,2017,3,26.77,1.6,49.95
37843,murshidabad,west bengal,2017,3,26.33,1.19,42.86
37850,maldah,west bengal,2017,3,25.89,1.4,43.36
37858,dakshin dinajpur,west bengal,2017,3,25.21,2.6,46.93
37866,uttar dinajpur,west bengal,2017,3,25.12,1.73,42.57
37878,east midnapore,west bengal,2018,3,27.94,0.23,61.06
37879,north 24 parganas,west bengal,2018,3,28.24,0.2,59.18
37880,south 24 parganas,west bengal,2018,3,28.24,0.2,59.18
37881,haora,west bengal,2018,3,27.53,0.19,55.07
37882,kolkata,west bengal,2018,3,27.53,0.19,55.07
37885,hugli,west bengal,2018,3,26.86,0.22,51.33
37888,barddhaman,west bengal,2018,3,26.83,0.25,45.88
37889,nadia,west bengal,2018,3,27.27,0.52,46.88
37898,murshidabad,west bengal,2018,3,27.08,0.49,39.45
37905,maldah,west bengal,2018,3,26.71,0.64,39.73
37913,dakshin dinajpur,west bengal,2018,3,26.06,1.19,44.32
37921,uttar dinajpur,west bengal,2018,3,26.15,0.75,35.78
37933,east midnapore,west bengal,2019,3,26.15,1.63,71.03
37934,north 24 parganas,west bengal,2019,3,26.17,1.89,71.24
37935,south 24 parganas,west bengal,2019,3,26.17,1.89,71.24
37936,haora,west bengal,2019,3,25.83,1.55,66.68
37937,kolkata,west bengal,2019,3,25.83,1.55,66.68
37940,hugli,west bengal,2019,3,25.84,1.26,59.85
37943,barddhaman,west bengal,2019,3,26.21,0.85,51.0
37944,nadia,west bengal,2019,3,26.2,0.79,53.91
37953,murshidabad,west bengal,2019,3,26.62,0.31,37.14
37960,maldah,west bengal,2019,3,26.49,0.19,33.79
37968,dakshin dinajpur,west bengal,2019,3,25.78,0.46,35.26
37976,uttar dinajpur,west bengal,2019,3,25.2,0.46,34.13
37988,east midnapore,west bengal,2020,3,26.09,1.75,68.59
37989,north 24 parganas,west bengal,2020,3,26.24,2.05,67.19
37990,south 24 parganas,west bengal,2020,3,26.24,2.05,67.19
37991,haora,west bengal,2020,3,25.53,1.72,64.97
37992,kolkata,west bengal,2020,3,25.53,1.72,64.97
37995,hugli,west bengal,2020,3,25.53,1.92,59.12
37998,barddhaman,west bengal,2020,3,25.85,1.93,53.52
37999,nadia,west bengal,2020,3,25.43,2.82,58.55
38008,murshidabad,west bengal,2020,3,25.21,1.72,53.06
38015,maldah,west bengal,2020,3,24.56,1.96,55.16
38023,dakshin dinajpur,west bengal,2020,3,23.91,2.67,58.07
38031,uttar dinajpur,west bengal,2020,3,23.45,5.23,58.1
38043,east midnapore,west bengal,2021,3,29.26,0.03,57.1
38044,north 24 parganas,west bengal,2021,3,29.5,0.0,55.86
38045,south 24 parganas,west bengal,2021,3,29.5,0.0,55.86
38046,haora,west bengal,2021,3,29.4,0.07,47.94
38047,kolkata,west bengal,2021,3,29.4,0.07,47.94
38050,hugli,west bengal,2021,3,29.1,0.13,41.21
38053,barddhaman,west bengal,2021,3,29.04,0.16,35.62
38054,nadia,west bengal,2021,3,29.47,0.11,35.5
38063,murshidabad,west bengal,2021,3,28.36,0.08,33.3
38070,maldah,west bengal,2021,3,27.59,0.07,34.25
38078,dakshin dinajpur,west bengal,2021,3,26.8,0.53,35.47
38086,uttar dinajpur,west bengal,2021,3,26.22,0.35,32.64
38098,east midnapore,west bengal,2022,3,26.9,0.07,65.54
38099,north 24 parganas,west bengal,2022,3,27.19,0.07,62.78
38100,south 24 parganas,west bengal,2022,3,27.19,0.07,62.78
38101,haora,west bengal,2022,3,26.25,0.03,64.22
38102,kolkata,west bengal,2022,3,26.25,0.03,64.22
38105,hugli,west bengal,2022,3,25.61,0.02,64.2
38108,barddhaman,west bengal,2022,3,25.7,0.03,60.26
38109,nadia,west bengal,2022,3,26.49,0.11,56.69
38118,murshidabad,west bengal,2022,3,26.93,0.12,47.35
38125,maldah,west bengal,2022,3,26.79,0.17,45.87
38133,dakshin dinajpur,west bengal,2022,3,26.03,0.25,50.28
38141,uttar dinajpur,west bengal,2022,3,26.05,0.37,47.24
38153,east midnapore,west bengal,2023,3,27.71,2.15,60.54
38154,north 24 parganas,west bengal,2023,3,27.74,2.2,59.72
38155,south 24 parganas,west bengal,2023,3,27.74,2.2,59.72
38156,haora,west bengal,2023,3,27.67,1.75,53.75
38157,kolkata,west bengal,2023,3,27.67,1.75,53.75
38160,hugli,west bengal,2023,3,27.64,1.64,48.59
38163,barddhaman,west bengal,2023,3,27.81,1.61,43.41
38164,nadia,west bengal,2023,3,27.74,2.29,45.87
38173,murshidabad,west bengal,2023,3,27.24,1.68,41.84
38180,maldah,west bengal,2023,3,26.74,1.46,42.32
38188,dakshin dinajpur,west bengal,2023,3,25.77,2.38,48.12
38196,uttar dinajpur,west bengal,2023,3,25.4,1.52,45.28
41833,jalpaiguri,west bengal,2000,3,23.68,0.26,29.4
41834,kochbihar,west bengal,2000,3,22.7,0.44,35.71
41845,darjiling,west bengal,2000,3,16.07,0.19,27.89
41872,jalpaiguri,west bengal,2001,3,25.26,0.39,21.96
41873,kochbihar,west bengal,2001,3,24.2,0.64,27.59
41884,darjiling,west bengal,2001,3,17.49,0.35,22.78
41911,jalpaiguri,west bengal,2002,3,25.34,1.11,33.73
41912,kochbihar,west bengal,2002,3,24.52,1.26,38.51
41923,darjiling,west bengal,2002,3,17.74,1.0,34.91
41950,jalpaiguri,west bengal,2003,3,23.73,0.91,43.88
41951,kochbihar,west bengal,2003,3,22.85,1.64,48.87
41962,darjiling,west bengal,2003,3,15.98,0.46,47.91
41989,jalpaiguri,west bengal,2004,3,25.78,0.54,39.47
41990,kochbihar,west bengal,2004,3,24.95,0.73,44.47
42001,darjiling,west bengal,2004,3,18.62,0.3,40.41
42028,jalpaiguri,west bengal,2005,3,25.97,0.89,41.13
42029,kochbihar,west bengal,2005,3,24.98,1.38,47.02
42040,darjiling,west bengal,2005,3,18.04,0.7,44.34
42067,jalpaiguri,west bengal,2006,3,25.17,0.37,32.13
42068,kochbihar,west bengal,2006,3,24.22,0.39,37.04
42079,darjiling,west bengal,2006,3,17.67,0.46,33.3
42106,jalpaiguri,west bengal,2007,3,23.94,0.48,40.76
42107,kochbihar,west bengal,2007,3,23.23,0.49,43.45
42118,darjiling,west bengal,2007,3,16.77,0.32,45.18
42145,jalpaiguri,west bengal,2008,3,25.16,1.16,38.4
42146,kochbihar,west bengal,2008,3,24.32,1.76,42.97
42157,darjiling,west bengal,2008,3,17.19,1.19,43.45
42184,jalpaiguri,west bengal,2009,3,25.36,0.22,30.48
42185,kochbihar,west bengal,2009,3,24.66,0.4,34.45
42196,darjiling,west bengal,2009,3,17.79,0.24,31.97
42223,jalpaiguri,west bengal,2010,3,26.9,0.23,29.08
42224,kochbihar,west bengal,2010,3,26.0,0.44,34.62
42235,darjiling,west bengal,2010,3,19.38,0.37,30.27
42262,jalpaiguri,west bengal,2011,3,24.73,0.23,37.65
42263,kochbihar,west bengal,2011,3,23.77,0.41,42.93
42274,darjiling,west bengal,2011,3,17.35,0.19,39.14
42301,jalpaiguri,west bengal,2012,3,24.62,0.1,30.5
42302,kochbihar,west bengal,2012,3,23.91,0.15,34.07
42313,darjiling,west bengal,2012,3,16.75,0.17,33.9
42340,jalpaiguri,west bengal,2013,3,26.15,0.23,32.43
42341,kochbihar,west bengal,2013,3,25.4,0.27,35.76
42352,darjiling,west bengal,2013,3,18.49,0.43,36.86
42379,jalpaiguri,west bengal,2014,3,24.97,0.23,36.27
42380,kochbihar,west bengal,2014,3,24.15,0.21,40.62
42391,darjiling,west bengal,2014,3,17.31,0.4,41.32
42418,jalpaiguri,west bengal,2015,3,26.11,1.13,37.73
42419,kochbihar,west bengal,2015,3,25.31,0.92,41.27
42430,darjiling,west bengal,2015,3,18.05,1.48,45.37
42457,jalpaiguri,west bengal,2016,3,27.78,1.82,30.54
42458,kochbihar,west bengal,2016,3,26.84,2.76,35.62
42469,darjiling,west bengal,2016,3,19.3,1.46,35.4
42496,jalpaiguri,west bengal,2017,3,24.77,2.66,42.77
42497,kochbihar,west bengal,2017,3,24.0,2.94,47.27
42508,darjiling,west bengal,2017,3,16.53,1.94,48.71
42535,jalpaiguri,west bengal,2018,3,25.62,1.38,37.65
42536,kochbihar,west bengal,2018,3,24.85,1.57,42.99
42547,darjiling,west bengal,2018,3,17.69,1.15,39.57
42574,jalpaiguri,west bengal,2019,3,24.3,1.37,37.54
42575,kochbihar,west bengal,2019,3,23.4,1.86,42.3
42586,darjiling,west bengal,2019,3,16.54,1.11,42.2
42613,jalpaiguri,west bengal,2020,3,23.46,5.7,55.54
42614,kochbihar,west bengal,2020,3,23.09,2.59,56.02
42625,darjiling,west bengal,2020,3,15.9,5.68,63.7
42652,jalpaiguri,west bengal,2021,3,25.72,1.22,34.44
42653,kochbihar,west bengal,2021,3,24.82,1.31,39.45
42664,darjiling,west bengal,2021,3,17.8,1.12,38.07
42691,jalpaiguri,west bengal,2022,3,26.01,0.87,46.52
42692,kochbihar,west bengal,2022,3,25.04,0.99,51.45
42703,darjiling,west bengal,2022,3,18.76,0.95,52.65
42730,jalpaiguri,west bengal,2023,3,24.82,3.44,47.3
42731,kochbihar,west bengal,2023,3,23.92,4.09,52.8
42742,darjiling,west bengal,2023,3,16.71,2.59,53.22
47138,west midnapore,west bengal,2000,4,30.84,1.89,63.41
47147,bankura,west bengal,2000,4,31.42,0.98,50.1
47157,puruliya,west bengal,2000,4,31.93,0.38,33.31
47168,birbhum,west bengal,2000,4,31.58,1.92,42.77
47308,west midnapore,west bengal,2001,4,31.34,1.2,53.37
47317,bankura,west bengal,2001,4,31.74,0.82,38.75
47327,puruliya,west bengal,2001,4,31.51,0.43,26.88
47338,birbhum,west bengal,2001,4,31.65,0.98,35.36
47478,west midnapore,west bengal,2002,4,31.1,1.11,60.48
47487,bankura,west bengal,2002,4,31.42,0.76,50.4
47497,puruliya,west bengal,2002,4,31.47,0.5,36.6
47508,birbhum,west bengal,2002,4,31.11,2.05,47.79
47648,west midnapore,west bengal,2003,4,31.5,0.48,59.1
47657,bankura,west bengal,2003,4,31.97,0.61,47.46
47667,puruliya,west bengal,2003,4,31.77,0.94,35.96
47678,birbhum,west bengal,2003,4,31.93,0.92,42.67
47818,west midnapore,west bengal,2004,4,31.08,2.74,61.05
47827,bankura,west bengal,2004,4,31.31,2.46,51.6
47837,puruliya,west bengal,2004,4,31.12,2.03,41.37
47848,birbhum,west bengal,2004,4,31.64,2.9,46.11
47988,west midnapore,west bengal,2005,4,30.72,1.67,57.98
47997,bankura,west bengal,2005,4,30.89,0.88,47.24
48007,puruliya,west bengal,2005,4,30.93,0.26,32.49
48018,birbhum,west bengal,2005,4,31.46,0.7,38.55
48158,west midnapore,west bengal,2006,4,31.2,2.0,58.48
48167,bankura,west bengal,2006,4,31.49,1.51,48.53
48177,puruliya,west bengal,2006,4,31.48,0.84,34.32
48188,birbhum,west bengal,2006,4,31.27,1.79,44.34
48328,west midnapore,west bengal,2007,4,31.2,1.08,57.82
48337,bankura,west bengal,2007,4,30.91,1.27,51.27
48347,puruliya,west bengal,2007,4,30.7,1.28,41.48
48358,birbhum,west bengal,2007,4,31.63,1.27,43.6
48498,west midnapore,west bengal,2008,4,29.53,2.2,62.66
48507,bankura,west bengal,2008,4,30.24,1.21,50.37
48517,puruliya,west bengal,2008,4,30.29,0.64,39.13
48528,birbhum,west bengal,2008,4,30.8,1.1,42.74
48668,west midnapore,west bengal,2009,4,32.01,0.03,49.54
48677,bankura,west bengal,2009,4,31.9,0.02,35.62
48687,puruliya,west bengal,2009,4,31.5,0.04,23.96
48698,birbhum,west bengal,2009,4,31.93,0.2,30.59
48838,west midnapore,west bengal,2010,4,32.85,0.68,54.66
48847,bankura,west bengal,2010,4,33.36,0.86,41.87
48857,puruliya,west bengal,2010,4,33.49,0.59,27.89
48868,birbhum,west bengal,2010,4,33.65,1.07,35.63
49008,west midnapore,west bengal,2011,4,30.21,2.59,57.86
49017,bankura,west bengal,2011,4,30.05,2.99,51.25
49027,puruliya,west bengal,2011,4,29.71,2.0,42.56
49038,birbhum,west bengal,2011,4,29.47,3.28,50.11
49178,west midnapore,west bengal,2012,4,31.07,3.06,60.23
49187,bankura,west bengal,2012,4,31.01,2.11,51.65
49197,puruliya,west bengal,2012,4,30.95,1.37,41.47
49208,birbhum,west bengal,2012,4,31.18,1.91,47.62
49348,west midnapore,west bengal,2013,4,31.46,2.21,52.32
49357,bankura,west bengal,2013,4,30.92,1.95,44.8
49367,puruliya,west bengal,2013,4,30.31,1.44,37.65
49378,birbhum,west bengal,2013,4,31.11,1.82,38.82
49518,west midnapore,west bengal,2014,4,31.87,0.28,48.78
49527,bankura,west bengal,2014,4,31.38,0.29,42.82
49537,puruliya,west bengal,2014,4,31.0,0.17,34.15
49548,birbhum,west bengal,2014,4,32.35,0.53,32.34
49688,west midnapore,west bengal,2015,4,29.68,3.48,63.98
49697,bankura,west bengal,2015,4,29.68,3.47,57.53
49707,puruliya,west bengal,2015,4,29.67,2.98,48.77
49718,birbhum,west bengal,2015,4,29.69,3.13,55.44
49858,west midnapore,west bengal,2016,4,33.72,0.3,49.93
49867,bankura,west bengal,2016,4,34.45,0.19,36.36
49877,puruliya,west bengal,2016,4,34.37,0.09,25.19
49888,birbhum,west bengal,2016,4,34.42,0.19,33.39
50028,west midnapore,west bengal,2017,4,31.06,1.05,62.57
50037,bankura,west bengal,2017,4,31.6,1.23,52.29
50047,puruliya,west bengal,2017,4,31.8,1.11,40.18
50058,birbhum,west bengal,2017,4,31.87,1.58,46.59
50198,west midnapore,west bengal,2018,4,28.98,4.5,69.77
50207,bankura,west bengal,2018,4,28.78,4.63,64.54
50217,puruliya,west bengal,2018,4,29.07,3.78,53.74
50228,birbhum,west bengal,2018,4,29.19,3.55,58.26
50368,west midnapore,west bengal,2019,4,30.63,1.78,62.33
50377,bankura,west bengal,2019,4,30.81,1.71,53.9
50387,puruliya,west bengal,2019,4,31.02,1.95,43.07
50398,birbhum,west bengal,2019,4,31.53,1.77,47.21
50538,west midnapore,west bengal,2020,4,29.14,3.69,64.43
50547,bankura,west bengal,2020,4,29.4,3.25,54.99
50557,puruliya,west bengal,2020,4,28.68,2.95,49.16
50568,birbhum,west bengal,2020,4,29.93,2.22,47.47
50708,west midnapore,west bengal,2021,4,31.23,1.44,53.13
50717,bankura,west bengal,2021,4,31.36,1.39,42.83
50727,puruliya,west bengal,2021,4,31.3,0.95,30.23
50738,birbhum,west bengal,2021,4,32.19,0.56,32.88
50878,west midnapore,west bengal,2022,4,31.16,0.34,64.12
50887,bankura,west bengal,2022,4,31.08,0.52,57.4
50897,puruliya,west bengal,2022,4,31.46,0.38,44.86
50908,birbhum,west bengal,2022,4,32.12,0.61,49.28
51048,west midnapore,west bengal,2023,4,31.15,1.87,48.46
51057,bankura,west bengal,2023,4,31.23,1.41,38.99
51067,puruliya,west bengal,2023,4,30.32,1.11,35.45
51078,birbhum,west bengal,2023,4,31.39,1.0,33.82
51144,east midnapore,west bengal,2000,4,29.51,2.52,73.6
51145,north 24 parganas,west bengal,2000,4,29.2,2.65,74.28
